model,accuracy,precision,recall,f1,roc_auc,train_time_sec
Logistic Regression,0.8048261178140526,0.6644518272425249,0.5347593582887701,0.5925925925925926,0.847144075021313,0.14916038513183594
Gradient Boosting,0.8090844570617459,0.6868327402135231,0.516042780748663,0.5893129770992367,0.8457206334444185,2.446337938308716
Random Forest,0.7792760823278921,0.6053511705685619,0.4839572192513369,0.537890044576523,0.821808881655429,3.399228811264038
K-Nearest Neighbors,0.7792760823278921,0.5918367346938775,0.5427807486631016,0.5662482566248257,0.8204952336665892,0.04297614097595215
SVM (RBF),0.7977288857345636,0.6618181818181819,0.48663101604278075,0.5608628659476117,0.7998346637732826,8.473860740661621
Decision Tree,0.7196593328601846,0.47229551451187335,0.4786096256684492,0.4754316069057105,0.6445916970213644,0.12412381172180176
